co-de;latitude;longitude
a0-11;51.5964199417825;2.26194729290138
a0-12;51.5974254754218;2.31964334174761
a0-13;51.598403086153;2.37734186459311
a0-14;51.5993527722473;2.4350427919112
a0-15;51.6002745320247;2.49274605415778
a0-16;51.6011683638549;2.55045158177183
a0-17;51.6020342661569;2.60815930517595
a0-18;51.6028722373988;2.66586915477682
a0-21;51.5604865884742;2.26358294330684
a0-22;51.561491359731;2.32123423013623
a0-23;51.5624682292353;2.37888798520818
a0-24;51.563417195261;2.43654413915748
a0-25;51.5643382561316;2.49420262260157
a0-26;51.5652314102196;2.55186336614104
a0-27;51.5660966559466;2.60952630036015
a0-28;51.5669339917838;2.66719135582731
a0-31;51.524552571287;2.26521605612082
a0-32;51.5255565809432;2.32282265028081
a0-33;51.5265327099806;2.3804317069445
a0-34;51.5274809566764;2.43804315690764
a0-35;51.528401319357;2.4956569309487
a0-36;51.5292937963979;2.5532729598294
a0-37;51.5301583862235;2.61089117429515
a0-38;51.5309950873077;2.6685115050756
a0-41;51.4886179046109;2.26684663724311
a0-42;51.4896211534466;2.32440860792026
a0-43;51.4905965427758;2.38197303537998
a0-44;51.4915440708788;2.43953985057853
a0-45;51.4924637360848;2.49710898445494
a0-46;51.4933555367723;2.5546803679315
a0-47;51.4942194713688;2.61225393191432
a0-48;51.4950555383506;2.66982960729376
a0-51;51.4526826028258;2.26847469255524
a0-52;51.4536850916197;2.32599210877564
a0-53;51.4546597419978;2.38351197607525
a0-54;51.4556065522435;2.44103422557026
a0-55;51.456525520689;2.49855878835976
a0-56;51.4574166457156;2.55608559552616
a0-57;51.4582799257537;2.61361457813574
a0-58;51.4591153592825;2.67114566723909
a1-11;51.6036822760984;2.72358106096572
a1-12;51.6044643808225;2.78129495411902
a1-13;51.6052185501875;2.83901076459871
a1-14;51.6059447828592;2.89672842275289
a1-15;51.6066430775526;2.95444785891623
a1-16;51.6073134330322;3.01216900341057
a1-17;51.6079558481121;3.06989178654534
a1-18;51.6085703216554;3.12761613861807
a1-21;51.5677434162514;2.72485846309559
a1-22;51.5685249279189;2.78252755270322
a1-23;51.5692785254052;2.84019855517408
a1-24;51.5700042073785;2.89787140101822
a1-25;51.5707019725561;2.95554602073236
a1-26;51.5713718197049;3.01322234480036
a1-27;51.5720137476407;3.07090030369375
